stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
VEN1EDOL,VENED1,EHPAD,32 Route de Wingles 62880 Vendin-le-Vieil,50.477744803650765,2.859134693197718,,,0,
BRU1RBL2,BRURB1,Résidence Blum,665 Rue Vincent Auriol 62700 Bruay-la-Buissière,50.47163561565944,2.5375279842886616,,,0,
ISB2PSTE,PST2IS,La Poste,48 Rue Emile Basly 62330 Isbergues,50.61769646144882,2.468518673002904,,,0,
BUR1JEBU,BUR1JB,Jean Butor,8 Rue de Lillers 62151 Burbure,50.53889098067778,2.466988926488028,,,0,
BET1COPE,BETCO1,Copernic,1262 Rue Copernic 62400 Béthune,50.51736138803275,2.647282509419981,,,0,
BUL1COMM,BULCO1,Sagnol,138 Rue Jean Jaurès 62160 Bully-les-Mines,50.438710012902526,2.7188125827183303,,,0,
HEN1SCRE,HENSCR,Scrève,107 Boulevard Louis Scrève 62110 Hénin-Beaumont,50.39132290441132,2.960841081008337,,,0,
NOL1HDVN,NOLHD1,Mairie,2 Rue de la République 62221 Noyelles-sous-Lens,50.43126449886256,2.874581078079711,,,0,
MER2STEC,MERSTE,Saint-Exupéry,13 Rue Sainte Cecile 62680 Méricourt,50.411511784166095,2.87543692845364,,,0,
LIB1MAI,LIBMAI,Mairie,126 Rue Cyprien Quinet 62820 Libercourt,50.47968284604667,3.0091000872437426,,,0,
COC2LECL,COCLEC,Leclerc,28 Rue du Maréchal Leclerc 62970 Courcelles-lès-Lens,50.414630845146114,3.0076540639092064,,,0,
COU1CBEU,COUCBE,Beugnet,33 Rue Casimir Beugnet 62710 Courrières,50.45096134569165,2.939982889298543,,,0,
DIE1RD8M,DIERD8,Rue du 8 Mai,336 Rue de l'Europe 62460 Diéval,50.43760500600707,2.453085883612228,,,0,
LEN1CDI1,LENCD1,Centre des Impôts,26 Avenue du Grand Condé 62300 Lens,50.43662286082756,2.835793731807741,,,0,
SAL2GPHI,SALGPH,Gérard Philippe,608 Rue Florent Evrard 62430 Sallaumines,50.41443838557432,2.875103183508063,,,0,
CAR2BASL,CARBAS,Basly,8 Rue du Vieux Château 62220 Carvin,50.4852884392343,2.959956362525755,,,0,
BRU1BH02,BH02BR,Centre-Ville,Rue du Berry 62700 Bruay-la-Buissière,50.4793645982532,2.545826378355345,,,0,
BRU1BH03,BH03B1,Les Tombelles,286 Rue F et Telesphore Caudron 62700 Bruay-la-Buissière,50.48360374216428,2.548487592666889,,,0,
BET1BH05,BH05B2,Mont-Liébaut,8 Avenue du Mont Liébaut 62400 Béthune,50.51836915020601,2.627645028261803,,,0,
BRU1BH11,BH11BR,Les Terrasses,313 Rue Desseilligny 62700 Bruay-la-Buissière,50.4863056046906,2.531300687230968,,,0,
BRU1BH12,BH12BR,La Cavée,520 Rue de la Cavée 62700 Bruay-la-Buissière,50.48828942783833,2.5362585147326344,,,0,
AVI1REPU,AVIREP,Jeunes de l'arrêt de bus,2 Boulevard Maurice Thorez 62210 Avion,50.39960300866615,2.835384247573121,,,0,
MON2CREI,MONCRE,Creil,32 Rue de Creil 62640 Montigny-en-Gohelle,50.43854160613076,2.931123160720135,,,0,
OIG2MAVE,OIGMAV,Justice,45 Avenue John Kennedy 62590 Oignies,50.45974841073931,2.9971250150720814,,,0,
DOU2BOUR,DOUBOU,Bourcheuil,12 Rue Louis Leblond 62119 Dourges,50.43144946323299,2.9714395685111006,,,0,
VEQ2DES2,VEQDES,Destrebecq,320 Rue Nationale 62113 Verquigneul,50.49174427531312,2.655576561764787,,,0,
BET2PDDA,BETPDD,Pont des Dames,324 Rue d'Aire 62400 Béthune,50.53742605848168,2.6343997375129464,,,0,
BUL2COMM,BULCOM,Sagnol,132 Rue Jean Jaurès 62160 Bully-les-Mines,50.43910439786267,2.7189420239127964,,,0,
HOU1GARA,HOUGAR,Rue de la Gare,604 Rue de la Gare 62150 Houdain,50.45522090798588,2.529297297591806,,,0,
LOI1CCOM,LOICC1,Centre Commercial,187 Route de Lille 62218 Loison-sous-Lens,50.446944626731735,2.863001794753316,,,0,
LAC2LROS,LACLRS,Les Rossignols,493 Rue de Houdain 62150 La Comté,50.430885167309256,2.5068416422072546,,,0,
MAZ2CIT2,MAZCIT,Cité 2,33 Boulevard Arthur Lamendin 62670 Mazingarbe,50.46355497723141,2.7127324988798542,,,0,
DIV1BDRI,DIVBD1,Rue Casanova,5 Rue Danielle Casanova 62460 Divion,50.48329517683121,2.5039956253205564,,,0,
MAR2MILL,MARMI1,Millénium,1 Place du Rond-Point 62540 Marles-les-Mines,50.49787302062388,2.491117815750832,,,0,
CHO1ECGA,ECG1CH,Ecole de Garçons,56 Rue de Lillers 62920 Chocques,50.5400604245289,2.568912754850136,,,0,
SAV1RDBU,RDB1SV,Rue de Busnes,1397 Rue de Busnes 62350 Saint-Venant,50.61014382242114,2.529892056018874,,,0,
HAS1SELI,HASSEL,Saint-Elie,123 Rue Roger Salengro 62410 Hulluch,50.49497433287272,2.809355002629949,,,0,
BAR1ACTI,BARAC1,Actigreen,106 Rue de Fresnicourt 62620 Barlin,50.4512640568579,2.6141596964275697,,,0,
CAL2CALO,CALCAL,Parc Calonnix,144 Rue Auguste Delattre 62470 Calonne-Ricouart,50.4940575222188,2.493145464893884,,,0,
DIV1BRIQ,DIVBR1,Briqueterie,26 Rue Jules Guesde 62460 Divion,50.47321759475862,2.4989010000440177,,,0,
AIX1SGER,AIXCEN,Centre,1 Rue de Bully 62160 Aix-Noulette,50.426798711647926,2.7116148795311124,,,0,
COU2PBOU,COUPBO,Bouchez,58 Rue Pierre Bouchez 62710 Courrières,50.44995208535718,2.9408701315186745,,,0,
MAR2DESC,MARDES,Saint-Etienne,74bis Boulevard Leon Gambetta 62540 Marles-les-Mines,50.50030560747143,2.497159717031473,,,0,
HEN1CCRI,HENCCR,Les Rivières,722 Avenue du Bord des Eaux 62110 Hénin-Beaumont,50.40822863396697,2.9695316750021656,,,0,
NOG2BH02,BH02NG,Egalité,8bis Rue Montesquieu 62950 Noyelles-Godault,50.42260922860133,2.987311082187757,,,0,
OIG2PMAI,OIGPMA,La Poste,7 Place de la 4e Republique 62590 Oignies,50.46806153294956,2.991189551012587,,,0,
NOG1CCOM,NOG1CC,Europe - Quai 01,737 Avenue du Bord des Eaux 62110 Hénin-Beaumont,50.40935911795315,2.9764963220585554,,,0,
CAL2CALV,CALDEL,Auguste Delattre,34 Rue Auguste Delattre 62470 Calonne-Ricouart,50.49129543185107,2.484895517966332,,,0,
LLS1COVO,COV1LR,Covoiturage,La Ferme de Philiomel 62190 Lillers,50.55853850401651,2.466011795564735,,,0,
CHO2BOUD,BOU2CH,Le Boudou,449 Rue de Lillers 62920 Chocques,50.54087767282092,2.563609237777161,,,0,
ANG2MONU,ANGMON,Monument,26 Rue Roger Salengro 62143 Angres,50.41108756689581,2.758775337168005,,,0,
AUM1FHDB,AUMFHD,Jules Verne,26 Rue Florent Evrard 62138 Auchy-les-Mines,50.512808803519086,2.79057069205266,,,0,
WIN2LCAN,WINLCA,Parc Cabiddu,135 Rue de Meurchin 62410 Wingles,50.49700092087846,2.8732179312447066,,,0,
AUC2FREV,AUCFRE,Fréville,2 Rue Jules Fréville 62260 Auchel,50.51328641605685,2.4834970210046023,,,0,
LIE1BLUM,LIEBL1,Jean Jaurès,79bis Avenue Jean Jaures 62800 Liévin,50.42420409607646,2.7895319695808025,,,0,
CAS1VETO,VER1CS,Vert Touquet,148 Rue du Vert Touquet 62350 Calonne-sur-la-Lys,50.623269868275855,2.613575121764181,,,0,
HEN1MICH,HENMI1,Michelet,497 Rue Pierre Brossolette 62110 Hénin-Beaumont,50.410750752832406,2.9444570235871805,,,0,
NOE1PAP2,NOEPA1,Pierre aux puits,67 Rue de la Pierre au Puits 62290 Nœux-les-Mines,50.47472542487505,2.6754888661098137,,,0,
BRU1PISC,BRUPI1,Piscine,634 Rue Augustin Caron 62700 Bruay-la-Buissière,50.47346025389027,2.540965609902396,,,0,
HAR1CIAR,HARCI1,Rue Léon Duhamel,11 Rue Léon Duhamel 62440 Harnes,50.4526203077988,2.912036779215522,,,0,
ANG1BRUY,ANGBR1,Cité Camus,26bis Route de Souchez 62143 Angres,50.40659928581404,2.756701842669235,,,0,
LLS1PDFE,PDF1LR,Gare Pl. de Ferfay,15 Place de Ferfay 62190 Lillers,50.56029201484172,2.4785784560434525,,,0,
LLS2PLAN,PLA2LR,Plantin,124 Rue Adolphe Dekeyser 62190 Lillers,50.56850700308458,2.4641640689501365,,,0,
HOU1SJEA,HOUSAI,Saint-Jean,534 Rue Jean Jaures 62150 Houdain,50.45539282351517,2.539599324954384,,,0,
SAI1LIBE,SAILI1,Liberté,8 Impasse Sully 62114 Sains-en-Gohelle,50.443222681301286,2.679280939645896,,,0,
WIN2RAPE,WINRAP,Rue André Pezé,58 Rue André Pezé 62410 Wingles,50.48887650678048,2.855481567299758,,,0,
AUC1LAME,AUCLA1,Lamendin,25 Rue Arthur Lamendin 62260 Auchel,50.51859207889046,2.4550319707531063,,,0,
BRU1CHAM,BRUCHA,Champagne,148 Rue de Champagne 62700 Bruay-la-Buissière,50.47724997935637,2.5494731439337923,,,0,
MER2PSIM,MERPSI,Simon,125bis Rue Pierre Simon 62680 Méricourt,50.41139107310159,2.8844925240679022,,,0,
HIN2LPAN,HINLPA,La Pannerie,858 Rue du 8 Mai 1945 62232 Hinges,50.57244237242719,2.621887374349081,,,0,
BRU2BH09,BH09BR,Ancien Monde,180 Rue de Dakar 62700 Bruay-la-Buissière,50.47253295106594,2.558422525353123,,,0,
AVI2GHE2,AVIGH2,Ghesquière,176 Boulevard Henri Martel 62210 Avion,50.407209319114926,2.813416163894128,,,0,
BRU2AVIA,BRUAVI,Aviateurs,50 Avenue des Aviateurs 62700 Bruay-la-Buissière,50.46810040590341,2.543122723709425,,,0,
NOY14CHE,NOY4C1,4 Chemins,6 Route d’Annequin 62980 Noyelles-lès-Vermelles,50.49721729773076,2.7301023812597505,,,0,
CAT1LGUI,CATLGU,La Guillotine,5bis Route Nationale 62260 Cauchy-à-la-Tour,50.50846785912813,2.439940755711632,,,0,
CAL1CIME,CALCI1,Cimetière,77 Rue Auguste Delattre 62470 Calonne-Ricouart,50.49242214979398,2.487964802568164,,,0,
SAL2DUTO,SALDUT,Touquet,24 Rue du Touquet 62430 Sallaumines,50.41229908740768,2.871850629442921,,,0,
MON1MATC,MONMAT,Mitterrand,130 Avenue Francois Mitterrand 62640 Montigny-en-Gohelle,50.41982043482533,2.9226297821829985,,,0,
BRU2CAMP,BRUCAM,Campanules,264 Rue des Martyrs 62700 Bruay-la-Buissière,50.483214147155735,2.5704922283551244,,,0,
HAR1PALO,HARPAL,Espace Mimoun,45 Chemin de la 2e Voie 62440 Harnes,50.44509894755301,2.880981931839368,,,0,
HOU1RDBR,HOURD1,Route de Bruay,1116 Route de Bruay 62150 Houdain,50.46520462093256,2.5418176471091245,,,0,
LIE1MARI,LIEMA1,Marionnettes,145 Rue du 4 Septembre 62800 Liévin,50.41121644972923,2.783292910354081,,,0,
AUM2FHDB,AUMFHD,Jules Verne,26 Rue Florent Evrard 62138 Auchy-les-Mines,50.51281787827496,2.790542634127533,,,0,
BRU2ALO2,BH14BR,Les Alouettes quai 2,540 Rue Alfred Leroy 62700 Bruay-la-Buissière,50.47580534775483,2.5442931598752563,,,0,
